timestamp,download_mbps,upload_mbps,ping_ms,jitter_ms,packet_loss_pct,server_id,server_name,server_location,server_country,result_url
2026-05-28T19:46:27.061765,107.18,40.18,18.338,2.205,0,47256,"Surfnet Communications, Inc","San Luis Obispo, CA",United States,https://www.speedtest.net/result/c/24ffc93b-337a-4c80-a515-dd1232bb0926
2026-05-28T20:01:29.170479,863.33,39.78,22.914,2.094,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/4fc1495a-39b8-4185-9287-9ea53333292d
2026-05-28T20:16:27.135263,320.59,39.25,34.191,5.202,0,47256,"Surfnet Communications, Inc","San Luis Obispo, CA",United States,https://www.speedtest.net/result/c/33c5122b-311c-41d6-87b5-6a7bd3423729
2026-05-28T20:31:18.253119,848.82,39.99,26.973,4.383,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/de64476b-600d-4ac0-a331-97325be07eca
2026-05-28T20:46:24.811805,904.12,41.05,15.475,3.095,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/9a12bf03-7cb3-4e74-af34-9f6839f4019c
2026-05-28T21:01:23.937098,731.29,41.11,24.364,2.424,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/dc8a461b-8d17-4cb2-bca4-d546e49484cd
2026-05-28T21:16:32.137460,662.72,40.82,22.612,1.867,0,14236,Frontier,"Los Angeles, CA",United States,https://www.speedtest.net/result/c/25e492b9-afb7-492f-957d-974708de85af
2026-05-28T21:31:26.819822,885.31,41.15,23.344,2.905,0,14236,Frontier,"Los Angeles, CA",United States,https://www.speedtest.net/result/c/84d70fe2-53dd-4d61-a06d-1d0d991f7696
2026-05-28T21:46:30.395362,911.23,39.12,21.101,2.549,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/b7659c00-65a1-4749-9d14-64d95f14421d
2026-05-28T22:01:25.043811,920.98,41.04,20.78,1.635,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/3ae88cd0-dbfe-4d1e-afdf-e3aa391449de
2026-05-28T22:16:35.971669,915.53,37.75,21.728,3.442,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/ba4d940b-2fe4-415e-bd4c-40cded873825
2026-05-28T22:31:25.537516,925.45,41.01,22.386,3.873,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/205cc7a7-8af2-45af-b5a7-ec52f6201b1a
2026-05-28T22:46:27.846349,167.91,16.94,22.73,1.906,0,40986,Internet 3.14,"Reedley, CA",United States,https://www.speedtest.net/result/c/c6e11bb1-731d-4948-a245-984e264b0f22
2026-05-28T23:01:35.457313,311.53,41.34,24.78,2.132,0,47256,"Surfnet Communications, Inc","San Luis Obispo, CA",United States,https://www.speedtest.net/result/c/6412ef07-1388-4888-9ce2-19df9d522a20
2026-05-28T23:16:32.043717,176.71,41.62,22.379,2.334,0,40986,Internet 3.14,"Reedley, CA",United States,https://www.speedtest.net/result/c/946f9913-6265-4d66-9cba-c6195da1bde9
2026-05-28T23:31:34.701950,318.04,41.37,18.487,1.006,0,47256,"Surfnet Communications, Inc","San Luis Obispo, CA",United States,https://www.speedtest.net/result/c/905bbad9-60b6-43e4-8f71-104e40632d59
2026-05-28T23:46:39.047615,928.86,34.84,16.033,2.158,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/5f56d5f7-a274-4869-8b55-2f091e9632bb
2026-05-29T00:01:36.322377,281.03,41.59,25.803,1.572,0,47256,"Surfnet Communications, Inc","San Luis Obispo, CA",United States,https://www.speedtest.net/result/c/0e038ba3-bb4f-442a-b6ef-c99cf946372b
2026-05-29T00:16:31.231409,929.83,40.97,20.003,0.509,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/a0efb1aa-d90a-45c5-a47d-ec371db16468
2026-05-29T00:31:33.261182,929.97,41.58,14.418,1.053,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/6bb5f67d-4aea-4fe2-82c1-defb5f4bb550
2026-05-29T00:46:34.244929,926.97,34.61,15.091,0.473,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/41b46c1c-8139-439d-8392-eb5e53702449
2026-05-29T01:01:31.015482,928.64,41.13,13.348,0.699,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/6a82b77f-d3c5-4a97-a075-092f7d380977
